"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
114;38;145;82,61;4,35;4,35;0;"Lefigaro.fr";"Politic";"http://elections.lefigaro.fr/flash-presidentielle/2012/02/27/97006-20120227FILWWW00318-traite-europeen-sarkozy-exclut-un-referendum.php";77,78;5,56;83,33;5,56
115;53;20;100;100;100;0;"Lefigaro.fr";"Cinema";"http://www.lefigaro.fr/culture/2012/02/27/03004-20120227ARTFIG00300-jean-dujardin-sacre-meilleur-acteur-a-los-angeles.php";59,26;0;66,67;0
116;140;139;53,85;23,08;15,38;7,7;"Lefigaro.fr";"Cinema";"http://www.lefigaro.fr/cinema/2012/02/27/03002-20120227ARTFIG00310-jean-dujardin-aux-oscars-ouah-putain-genial-merci.php";100;0;0;0
117;61;150;68,75;18,75;18,75;0;"Lefigaro.fr";"Misc";"http://www.lefigaro.fr/actualite-france/2012/02/27/01016-20120227ARTFIG00366-un-pere-tente-d-immoler-sa-fille-a-paris.php";63,64;0;0;0
118;28;33;66,67;33,33;33,33;0;"Lefigaro.fr";"Cinema";"http://www.lefigaro.fr/cinema/2012/02/27/03002-20120227ARTFIG00496-jean-dujardin-qu-est-ce-que-hollywood-va-faire-de-moi.php";100;0;0;0
119;45;111;85,71;42,86;42,86;0;"Lefigaro.fr";"Politic";"http://elections.lefigaro.fr/presidentielle-2012/2012/02/26/01039-20120226ARTFIG00232-pour-bayrou-hollande-peche-par-exces-de-confiance.php";53,33;6,67;0;0
120;27;26;100;0;0;0;"Lefigaro.fr";"Politic";"http://www.lefigaro.fr/flash-actu/2012/02/25/97001-20120225FILWWW00421-halal-enquete-preliminaire-ouverte.php";100;0;100;0
121;37;19;100;0;0;0;"Lefigaro.fr";"Cinema";"http://www.lefigaro.fr/medias/2012/02/27/20004-20120227ARTFIG00307-le-cinema-francais-bat-tous-les-records.php";100;0;100;0
122;22;10;0;0;0;0;"Lefigaro.fr";"Cinema";"http://www.lefigaro.fr/cinema/2012/02/27/03002-20120227ARTFIG00321-oscars-2012-dujardin-the-artist-les-meilleurs-moments.php";100;0;0;0
123;27;36;50;0;0;0;"Feedburner.com";"Web/it";"http://feeds.feedburner.com/~r/google/frEP/~3/iL-PZ84n1ec/url?utm_source=feedburner&utm_medium=twitter&utm_campaign=MedTaha_MIT";18,75;0;0;0
124;40;91;73,33;73,33;66,67;6,66;"Lefigaro.fr";"Television";"http://www.lefigaro.fr/medias/2012/02/26/20004-20120226ARTFIG00102-al-jezira-sport-pourrait-couter-seulement-13-euros-par-mois.php#xtor=RSS-216";0;0;0;0
